title|start|end|country|location|tradition|language|category|type|overview
Macbeth|1606|1606|GBR|London; approximate composition date|English|English|Drama|Fiction|Prophecy and ambition draw a Scottish nobleman into murder and tyranny.
King Lear|1605|1606|GBR|London; approximate composition date|English|English|Drama|Fiction|An aging king's division of his realm exposes the fragility of family and power.
Paradise Lost|1667|1667|GBR|London|English|English|Poetry|Fiction|Milton retells the rebellion of Satan and humanity's expulsion from Eden.
Robinson Crusoe|1719|1719|GBR|London|English|English|Novels|Fiction|A shipwrecked man builds a precarious life on an isolated island.
Gulliver's Travels|1726|1726|IRL|Dublin; broad composition association|Irish|English|Novels|Fiction|Journeys through impossible societies expose the absurdities of familiar human behavior.
Candide|1759|1759|FRA,CHE|France and Geneva region; approximate association|French|French|Novels|Fiction|A young optimist encounters disasters that challenge his teacher's reassuring philosophy.
Pride and Prejudice|1813|1813|GBR|Chawton, England|English|English|Novels|Fiction|Elizabeth Bennet and Mr. Darcy confront the judgments that separate them.
Emma|1815|1815|GBR|Chawton, England|English|English|Novels|Fiction|A confident matchmaker misreads the desires and social world of her neighbors.
Frankenstein|1818|1818|CHE,GBR|Begun near Geneva; completed in England|English|English|Novels|Fiction|A scientist's creation asks what its maker owes to the life he has brought into being.
Jane Eyre|1847|1847|GBR|Haworth, England|English|English|Novels|Fiction|An orphaned governess insists on independence through love, hardship, and a troubling secret.
Wuthering Heights|1847|1847|GBR|Haworth, England|English|English|Novels|Fiction|An intense attachment fuels revenge across two families on the Yorkshire moors.
Moby-Dick|1851|1851|USA|Pittsfield, Massachusetts|American|English|Novels|Fiction|A whaling voyage becomes a captain's obsessive pursuit of a formidable white whale.
Walden|1854|1854|USA|Concord, Massachusetts|American|English|Life writing|Nonfiction|Thoreau uses life beside a pond to question work, consumption, and deliberate living.
Leaves of Grass|1855|1892|USA|United States; expanded across multiple editions|American|English|Poetry|Fiction|Whitman's evolving poetry celebrates bodies, democracy, and the variety of American life.
On the Origin of Species|1859|1859|GBR|Down House, Kent|English|English|Science & nature|Nonfiction|Darwin presents natural selection as an explanation for the diversity of living things.
Great Expectations|1860|1861|GBR|Kent, England; serialized publication|English|English|Novels|Fiction|Pip's unexpected fortune forces him to reconsider gentility, loyalty, and shame.
Les Misérables|1862|1862|GGY|Guernsey; written partly in exile|French|French|Novels|Fiction|An ex-prisoner's struggle for redemption unfolds against the upheavals of nineteenth-century France.
Crime and Punishment|1866|1866|RUS|St Petersburg and travels; broad association|Russian|Russian|Novels|Fiction|A young man's theory of exceptional freedom unravels after he commits murder.
War and Peace|1865|1869|RUS|Yasnaya Polyana; serialized publication|Russian|Russian|Novels|Fiction|Interwoven families confront personal change and the upheaval of the Napoleonic Wars.
Anna Karenina|1875|1877|RUS|Yasnaya Polyana; serialized publication|Russian|Russian|Novels|Fiction|Two contrasting relationships explore desire, responsibility, and the search for a meaningful life.
The Brothers Karamazov|1879|1880|RUS|Staraya Russa and St Petersburg|Russian|Russian|Novels|Fiction|A divided family becomes the setting for a struggle over faith, freedom, and responsibility.
Middlemarch|1871|1872|GBR|England; serialized publication|English|English|Novels|Fiction|The ambitions and compromises of a provincial community intertwine in a period of reform.
The Adventures of Huckleberry Finn|1884|1884|USA|Hartford and Elmira; first published in Britain|American|English|Novels|Fiction|A boy and an enslaved man travel the Mississippi in search of freedom.
The Picture of Dorian Gray|1890|1891|GBR|London; magazine version followed by expanded novel|Irish|English|Novels|Fiction|A portrait bears the marks of a man's corruption while he remains outwardly young.
Dracula|1897|1897|GBR|London; broad composition association|Irish|English|Novels|Fiction|A group of friends confront a vampire whose arrival threatens Victorian England.
The Awakening|1899|1899|USA|St Louis, Missouri|American|English|Novels|Fiction|A woman in Louisiana begins to question the roles that have defined her life.
The Souls of Black Folk|1903|1903|USA|Atlanta, Georgia|American|English|Essays & criticism|Nonfiction|Du Bois combines history and reflection to examine Black life after emancipation.
A Room with a View|1908|1908|GBR|England; shaped by Italian travel|English|English|Novels|Fiction|A young woman weighs social expectations against the possibility of a less conventional life.
Siddhartha|1922|1922|CHE|Montagnola, Switzerland|German|German|Novels|Fiction|A spiritual seeker tests different paths toward understanding and inner peace.
Mrs Dalloway|1925|1925|GBR|London and Sussex|English|English|Novels|Fiction|A single London day opens into the memories and private lives of interconnected strangers.
The Great Gatsby|1925|1925|FRA|French Riviera; broad composition association|American|English|Novels|Fiction|A mysterious millionaire pursues a lost love through the glittering world of the Jazz Age.
A Room of One's Own|1929|1929|GBR|England|English|English|Essays & criticism|Nonfiction|Woolf examines the material conditions that allow women to write.
The Prophet|1923|1923|USA|New York City|Lebanese|English|Poetry|Fiction|A departing teacher offers poetic reflections on love, work, freedom, and sorrow.
The Trial|1925|1925|CZE|Prague; written 1914–15, published posthumously|German|German|Novels|Fiction|A man faces an opaque legal system that never explains the accusation against him.
The Metamorphosis|1915|1915|CZE|Prague; written in 1912|German|German|Short stories|Fiction|A traveling salesman wakes transformed and discovers how fragile his family role has become.
The Time Machine|1895|1895|GBR|England|English|English|Novels|Fiction|A traveler visits a distant future that transforms Victorian anxieties about class and progress.
The War of the Worlds|1898|1898|GBR|Woking, England|English|English|Novels|Fiction|A Martian invasion overturns humanity's confidence in its place in the universe.
The Communist Manifesto|1848|1848|BEL|Brussels; broad composition association|German|German|Philosophy|Nonfiction|Marx and Engels present a political account of class conflict and revolutionary change.
The Wealth of Nations|1776|1776|GBR|Kirkcaldy, Scotland; broad composition association|Scottish|English|Philosophy|Nonfiction|Adam Smith examines production, exchange, and the institutions of commercial society.
The Interesting Narrative and Other Writings|1789|1789|GBR|London; collected volume date refers to principal narrative|African diaspora|English|Life writing|Nonfiction|Equiano recounts enslavement, seafaring, and the struggle to secure his freedom.
Incidents in the Life of a Slave Girl|1861|1861|USA|United States; broad composition association|American|English|Life writing|Nonfiction|Harriet Jacobs recounts enslavement, resistance, and the effort to protect her children.
